Date;CSP;Size;Solver;Variable Heuristic;Value Heuristic;Solutions;Duration time;Number of backs;Number of checked values;Time of First solution;Number of backs to first solution;Number of checked values to firs solution
2022-04-09T10:06:23.314123;BinaryCSP;8;ForwardChecking;brak;brak;1;240;88;626;75;26;203
2022-04-09T10:06:23.436377;BinaryCSP;8;ForwardChecking;MCV DYNAMIC;brak;1;121;44;385;40;13;126
2022-04-09T10:06:23.513995;BinaryCSP;8;ForwardChecking;MRV DYNAMIC;brak;1;77;13;196;33;4;85
2022-04-09T10:06:23.539656;BinaryCSP;8;ForwardChecking;MRV_MCV DYNAMIC;brak;1;25;5;61;23;3;55
2022-04-09T10:06:23.703283;BinaryCSP;8;ForwardChecking;MCV DYNAMIC;LCV DYNAMIC;1;163;44;385;61;14;129
2022-04-09T10:06:23.812907;BinaryCSP;8;ForwardChecking;MRV DYNAMIC;LCV DYNAMIC;1;109;13;196;47;5;87
2022-04-09T10:06:23.847565;BinaryCSP;8;ForwardChecking;MRV_MCV DYNAMIC;LCV DYNAMIC;1;34;5;61;32;4;57
2022-04-09T10:06:23.969381;BinaryCSP;8;ForwardChecking;MCV DYNAMIC;MPV DYNAMIC;1;121;44;385;35;11;110
2022-04-09T10:06:24.067745;BinaryCSP;8;ForwardChecking;MRV DYNAMIC;MPV DYNAMIC;1;97;20;251;24;4;62
2022-04-09T10:06:24.092680;BinaryCSP;8;ForwardChecking;MRV_MCV DYNAMIC;MPV DYNAMIC;1;24;5;61;22;3;55
2022-04-09T10:06:24.240109;BinaryCSP;10;ForwardChecking;brak;brak;1;146;25;166;130;17;143
2022-04-09T10:06:24.366093;BinaryCSP;10;ForwardChecking;MCV DYNAMIC;brak;1;125;22;144;102;16;118
2022-04-09T10:06:24.442628;BinaryCSP;10;ForwardChecking;MRV DYNAMIC;brak;1;76;1;77;76;1;77
2022-04-09T10:06:24.514048;BinaryCSP;10;ForwardChecking;MRV_MCV DYNAMIC;brak;1;71;1;82;71;1;82
2022-04-09T10:06:24.695217;BinaryCSP;10;ForwardChecking;MCV DYNAMIC;LCV DYNAMIC;1;180;22;144;112;6;95
2022-04-09T10:06:24.796325;BinaryCSP;10;ForwardChecking;MRV DYNAMIC;LCV DYNAMIC;1;100;1;77;100;1;77
2022-04-09T10:06:24.895079;BinaryCSP;10;ForwardChecking;MRV_MCV DYNAMIC;LCV DYNAMIC;1;98;1;82;83;0;72
2022-04-09T10:06:25.022336;BinaryCSP;10;ForwardChecking;MCV DYNAMIC;MPV DYNAMIC;1;126;22;144;104;16;118
